,podcast,episode_num,date_published,year_published,views,likes,comments,video_title
299,Your Mom's House,370.0,2016-11-16,2016,106983,1225,138,Your Mom's House Podcast - Ep. 370
298,Your Mom's House,371.0,2016-11-23,2016,63648,688,120,Your Mom's House Podcast - Ep. 371
297,Your Mom's House,372.0,2016-11-30,2016,140708,1692,262,Your Mom's House Podcast - Ep. 372
296,Your Mom's House,373.0,2016-12-07,2016,119128,1343,245,Your Mom's House Podcast - Ep. 373
295,Your Mom's House,374.0,2016-12-14,2016,145624,1563,248,Your Mom's House Podcast - Ep. 374
294,Your Mom's House,375.0,2016-12-21,2016,149731,1721,256,Your Mom's House Podcast - Ep. 375
293,Your Mom's House,376.0,2016-12-28,2016,181963,1748,329,Your Mom's House Podcast - Ep. 376
292,Your Mom's House,377.0,2017-01-04,2017,159701,1906,255,Your Mom's House Podcast - Ep. 377
291,Your Mom's House,378.0,2017-01-11,2017,177333,1996,313,Your Mom's House Podcast - Ep. 378
290,Your Mom's House,379.0,2017-01-18,2017,142195,1819,250,Your Mom's House Podcast - Ep. 379
289,Your Mom's House,380.0,2017-01-25,2017,158612,1925,298,Your Mom's House Podcast - Ep. 380
288,Your Mom's House,381.0,2017-02-01,2017,155552,1952,348,Your Mom's House Podcast - Ep. 381
287,Your Mom's House,382.0,2017-02-08,2017,138255,1743,353,Your Mom's House Podcast - Ep. 382
286,Your Mom's House,383.0,2017-02-15,2017,164430,2000,284,Your Mom's House Podcast - Ep. 383
285,Your Mom's House,384.0,2017-02-22,2017,125298,1609,233,Your Mom's House Podcast - Ep. 384
284,Your Mom's House,385.0,2017-03-01,2017,122580,1434,225,Your Mom's House Podcast - Ep. 385
282,Your Mom's House,386.0,2017-03-08,2017,139908,1634,329,Your Mom's House Podcast - Ep. 386
281,Your Mom's House,387.0,2017-03-15,2017,132979,1544,236,Your Mom's House Podcast - Ep. 387
280,Your Mom's House,388.0,2017-03-22,2017,135402,1665,260,Your Mom's House Podcast - Ep. 388
279,Your Mom's House,389.0,2017-03-29,2017,130737,1558,243,Your Mom's House Podcast - Ep. 389
278,Your Mom's House,390.0,2017-04-05,2017,67357,798,201,Your Mom's House Podcast - Ep. 390
277,Your Mom's House,391.0,2017-04-12,2017,118108,1406,301,Your Mom's House Podcast - Ep. 391
276,Your Mom's House,392.0,2017-04-19,2017,166076,1992,399,Your Mom's House Podcast - Ep. 392
275,Your Mom's House,393.0,2017-04-26,2017,137874,1591,285,Your Mom's House Podcast - Ep. 393
273,Your Mom's House,394.0,2017-05-03,2017,126275,1624,218,Your Mom's House Podcast - Ep. 394
272,Your Mom's House,395.0,2017-05-10,2017,144621,1677,227,Your Mom's House Podcast - Ep. 395
271,Your Mom's House,396.0,2017-05-17,2017,195550,2262,464,Your Mom's House Podcast - Ep. 396 w/ Water Sommelier
